,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry,Job Title
2867, Not Disclosed by Recruiter ,5 - 10 yrs, project sales| steel| cladding| HNI| bath fittings| facade| plywood| building material| sales| tiles| contractors| consultants| architects| aluminium| sanitaryware| sanitary ware,Institutional Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager
2868,"22,50,000 - 27,50,000 PA.",10 - 20 yrs, Project Sales| Architect| Contractor,Retail Sales,"Sales , Retail , Business Development","Electricals, Switchgears",Regional Manager
2869, Not Disclosed by Recruiter ,12 - 17 yrs, Relationship management| MS Office| Team leading| Leadership skills| Excel| school| Business Executive,Marketing,"Marketing , Advertising , MR , PR , Media Planning","Recruitment, Staffing",Marketing Manager
2871, Not Disclosed by Recruiter ,5 - 10 yrs, Windows Server| VMware| Azure| Vmware Vsphere| DNS| DHCP| Windows Administration| Active Directory| Troubleshooting| IIS| SCCM| Windows Administrator,Admin/Maintenance/Security/Datawarehousing,IT Software - System Programming,"IT-Software, Software Services",System Administrator
2872, Not Disclosed by Recruiter ,3 - 8 yrs, Training| Performance appraisal| HR policies| IT recruitment| Database handling| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive
2873, Not Disclosed by Recruiter ,2 - 5 yrs, Managed services| ITSM| Unix operating system| ITIL framework| Asset management| Troubleshooting| SLAS| Remedy,Admin/Maintenance/Security/Datawarehousing,"IT Software - ERP , CRM","IT-Software, Software Services",System Administrator
2874,"2,00,000 - 7,00,000 PA.",0 - 3 yrs, Mba Fresher,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing/Key Account Manager
2875,"1,50,000 - 1,75,000 PA.",0 - 5 yrs, psychology| therapy| education| training| social work| communication skills,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training",Special Education Teacher
2877, Not Disclosed by Recruiter ,2 - 3 yrs, workflow| schema| data conversion| interpersonal skills| applications| web content| designing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2879, Not Disclosed by Recruiter ,2 - 4 yrs, Graphic designing| Typing| top| Logo design| Freelancing,Creative,"Design , Creative , User Experience","Media, Entertainment, Internet",Web Designer
2880, Not Disclosed by Recruiter ,7 - 12 yrs,Sales| Key Account Management| B2B Sales| Corporate Sales| BFSI Sales,Channel Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Area / Territory Manager
2881, Not Disclosed by Recruiter ,0 - 3 yrs, Telecom| Service| Comp| Voice process| Target| Typing| Outbound process| Spot| International voice process| Presentable,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
2882, Not Disclosed by Recruiter ,5 - 7 yrs, SEC| Construction equipment| Mechanical| Electronics| Electricals,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Service/Maintenance Engineer
2883, Not Disclosed by Recruiter ,1 - 4 yrs, marketing executive| distributors| customer profiling| sales strategy| market research| Business Development| sales executive,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer
2884, Not Disclosed by Recruiter ,3 - 6 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,Programming & Design,IT Software - System Programming,"Media, Entertainment, Internet",Software Developer
2885,"1,75,000 - 3,75,000 PA.",0 - 1 yrs, Backend| Non Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(Technical)
2886, Not Disclosed by Recruiter ,3 - 5 yrs, coding| development| macros| dom| configuration| xml| ms access| perl| sql server| xhtml,Programming & Design,"IT Software - Application Programming , Maintenance","BPO, Call Centre, ITeS",Software Developer
2887, Not Disclosed by Recruiter ,3 - 7 yrs, Java| Postgresql| Data Structures| React JS| SQL| MySQL| Javascript| Database| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2888, Not Disclosed by Recruiter ,0 - 1 yrs, Sales| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Sales Executive/Officer
2889, Not Disclosed by Recruiter ,2 - 5 yrs, C| Python| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2890,"16,00,000 - 20,00,000 PA.",16 - 20 yrs, Purified Water| Pumps| General Management| Water Treatment,Senior Management,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Head/VP/GM-Production/Manufacturing/Maintenance
2891,"3,00,000 - 6,00,000 PA.",0 - 5 yrs, Travel| Reservation| booking| galileo| ticketing| amadeus| Itinerary,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Travel , Hotels , Restaurants , Airlines , Railways",Tour Mngmt Executive
2892, Not Disclosed by Recruiter ,3 - 8 yrs, Product engineering| Linux| Product management| Billing| Python| Windows| Shell scripting| TDD| Web development| Interpersonal skills,Engineering Design,"Engineering Design , R&D","IT-Software, Software Services",Design Engineer
2893, Not Disclosed by Recruiter ,2 - 5 yrs, English| Antivirus| Technical support| Relationship Executive| Issue| Technical| Inbound calls| Software| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
2894, Not Disclosed by Recruiter ,2 - 5 yrs, Python| Six Sigma| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet",Software Developer
2895, Not Disclosed by Recruiter ,2 - 5 yrs, C| Python| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
2896, Not Disclosed by Recruiter ,8 - 12 yrs, Claims| Quality systems| CRM| Product quality| PDF| SDS| Customer satisfaction| Customer service delivery| Cost analysis,Senior Management,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Service Delivery Leader
2897, Not Disclosed by Recruiter ,9 - 12 yrs, Java| Analytics| Algorithm| IT Service Delivery| Project Management,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Technical Architect
2898, Not Disclosed by Recruiter ,8 - 12 yrs, Civil,Other,"Engineering Design , R&D","Internet, Ecommerce",Fresher
2899, Not Disclosed by Recruiter ,4 - 9 yrs, Object oriented design| Electrical engineering| Analytical skills| SOA| software| Data structures| it| SQL| Computer science| Data modeling| design| Software solutions,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2902,Openings: 1,0 - 3 Years,Pharmacist,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology",Medical / Healthcare / Hospitals,Pharmacist/Chemist/Bio Chemist
2903, Not Disclosed by Recruiter ,3 - 8 yrs, Ticketing Executive - Travel,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Recruitment, Staffing",Travel Agent
2904, Not Disclosed by Recruiter ,5 - 6 yrs, piping| stress| Engineering| OIL| technical| documentation| Mechanical| GAS| Petrochemicals| analysis,Site Engineering,"Site Engineering , Project Management","Strategy, Management Consulting Firms",Mechanical Engineer-Telecom
2905,"2,50,000 - 3,75,000 PA.",2 - 4 yrs, Soft Skills| Software Development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2906, Not Disclosed by Recruiter ,4 - 7 yrs, workflow| order management| inbound| outbound| eim| specification| html| data migration| javascript| pricing,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer
2908, Not Disclosed by Recruiter ,4 - 5 yrs, Business process| SAP| MIN| C| Outsourcing| Warehouse management| Documentation tools| Operations| Testing,System Design/Implementation/ERP/CRM,"IT Software - ERP , CRM","IT-Software, Software Services",Functional Outside Consultant
2909, Not Disclosed by Recruiter ,3 - 5 yrs, C#| c sharp| .net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2910, Not Disclosed by Recruiter ,7 - 10 yrs, Performance Appraisal| Manpower Planning| Training & Development,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",HR Manager
2911,"2,00,000 - 7,00,000 PA.",1 - 5 yrs, Business Development| Cold Calling| Bd,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales Executive/Officer
2912, Not Disclosed by Recruiter ,0 - 3 yrs, assembly language| C| JavaScript| .NET| HTML| Oracle| Python| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2913, Not Disclosed by Recruiter ,3 - 8 yrs, ASP| .Net| C#| MVC| Javascript| jQuery| SQL Server| SDLC| LINQ| Entity Framework| RDBMS,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer
2914, Not Disclosed by Recruiter ,1 - 6 yrs, cluster| high performance computing,Technical Support,"IT Hardware , Technical Support , Telecom Engineering",IT-Hardware & Networking,Technical Support Manager
2915,"1,00,000 - 3,50,000 PA.",1 - 4 yrs,Photoshop| Dreamweaver| Illustrator| Corel Draw| CSS| HTML| Javascript| JQuery| Graphics| Html5,Creative,"Design , Creative , User Experience","IT-Software, Software Services",Web Designer
2916, Not Disclosed by Recruiter ,4 - 8 yrs, Administration Management| Overall Administration| HR Administration| Leave| HR Operations| Policy Implementation| Payroll Processing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Real Estate, Property",HR Executive
2917,"3,00,000 - 8,00,000 PA.",0 - 5 yrs,insurance| agent| area sales| distributors| mutual fund| channel sales| dealers| health| business development management| b2c sales| sales| strategic planning| healthcare| sales management| b2b| channel management| strategy| team building| distribution management,Retail Sales,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals",Area Sales Manager
2918,"5,00,000 - 12,00,000 PA.",3 - 8 yrs, wealth| hni| Mutual Funds| Retail Liabilities| Portfolio| retail assets| cross selling| sales| relationship management| credit cards| liabilities| portfolio management| wealth management,Investment Banking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking",Wealth Manager
2919,Openings: 1,8 - 13 Years,Marketing Communication|Internal Branding|Product Promotion|Promotional Campaigns|Marketing Management|Lead Generation|New Product|Content Development,"Analyze how our brand is positioned in the market and crystallize targeted consumers insights Take brand ownership and provide the vision, mission, goals and strategies to match up to Translate brand strategies into brand plans, brand positioning and go-to-market strategies Lead creative development and create motivating stimulus to get targeted population to take action Establish performance specifications, cost and price parameters, market applications and sales estimates Measure and report performance of all marketing campaigns, and assess against goals (ROI and KPIs) Coach the team and get the best from everyone Monitor market trends, research consumer markets and competitors activities to identify opportunities and key issues Oversee marketing and advertising activities to ensure consistency with product line strategy Monitor product distribution and consumer reactions Anticipate bottlenecks Brainstorm new and innovative growth strategies Align the company around the brands direction, choices and tactics Salary: INR 8,50,000 - 14,00,000 PA. Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Permanent Job, Full Time","Other Employment Type: Permanent Job, Full Time",Medical / Healthcare / Hospitals,"Analyze how our brand is positioned in the market and crystallize targeted consumers insights Take brand ownership and provide the vision, mission, goals and strategies to match up to Translate brand strategies into brand plans, brand positioning and go-to-market strategies Lead creative development and create motivating stimulus to get targeted population to take action Establish performance specifications, cost and price parameters, market applications and sales estimates Measure and report performance of all marketing campaigns, and assess against goals (ROI and KPIs) Coach the team and get the best from everyone Monitor market trends, research consumer markets and competitors activities to identify opportunities and key issues Oversee marketing and advertising activities to ensure consistency with product line strategy Monitor product distribution and consumer reactions Anticipate bottlenecks Brainstorm new and innovative growth strategies Align the company around the brands direction, choices and tactics Salary: INR 8,50,000 - 14,00,000 PA. Industry: Medical / Healthcare / Hospitals Functional Area: Other Employment Type: Permanent Job, Full Time"
